Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number
LaMn1.9Fe0.1Si2,1.72,1.8 T,307,3,4155
Ni43Mn46Sn11-0Sb0,10.4,10 kOe,,5,5228
Ni43Mn46Sn11-1Sb1,8.9,10 kOe,,5,5229
Ni43Mn46Sn11-3Sb3,7.3,10 kOe,,5,5230
DyCo2,5.45,1 T,142,6,791
Mn5Ge1.0Si2.0,,nan T,201,8,4603
Mn5Ge1.5Si1.5,,nan T,226,8,4604
Mn5Ge2.0Si1.0,,nan T,251,8,4605
Mn5Ge2.5Si0.5,7.8,5.0 T,276,8,4609
Mn5Ge2.9Si0.1,2.3,1.0 T,299,8,4616
Nanocrystalline Gd,4.47,5 T,294,9,4767
Nanocrystalline Gd,4.47,5 T,290,9,4768
Nanocrystalline Gd,4.47,5 T,288,9,4769
Ce2Fe16Al,1.95,2 T,275.8,11,444
Er2-xPrxFe17,,nan T,Room temperature,13,905
Co50Ni22Ga28 alloy,-10.5,nan T,Below 360,17,523
La0.67-xCa0.33MnO3 (x = 0.02),2.78,1.0 T,277,19,2978
La0.85K0.15MnO3,3,1.0 T,260-309,23,3580
La0.85Y0.15MnO3,2.1,nan T,,23,3588
Ce1.3Pr0.7Co7,,nan T,218,26,437
Ni46Mn35Ga19,9,1.6 T,,27,5334
MnSi,,Not mentioned kOe,Not mentioned,28,4754
La4/3Sr5/3Mn2O7 Single Crystal,3.2,nan kOe,,30,3897
Gd60Co26Al10Ge4,8.2,nan T,,33,1978
La0.70Ca0.20Sr0.10MnO3,3.6,2 T,308,34,3196
La0.70Ca0.20Sr0.10MnO3,6.7,6 T,308,34,3197
La0.7Pr0.3Fe10.4Co0.8Si1.8,9.3,0-5 T,290,35,3426
LaFe11.2Si1.8,13.7 - 19.4,0-5 T,216 - 203,35,3959
Gd5Ge4,-22.31,2.5 T,,38,1912
CoFe2O4/CoFe2 (800 degree C),-0.923,nan T,,39,550
Gd60Co26Al6Ge8,7.6,0-5 T,,40,1981
Mn3GaC,33,nan T,159,42,4496
LaFe11.0Co0.8(Si1-xAlx)(1.2) (x= 0),18.5,0-5 T,276,43,3936
LaFe11.0Co0.8(Si1-xAlx)(1.2) (x= 0.2),,0-5 T,282,43,3937
LaFe11.0Co0.8(Si1-xAlx)(1.2) (x= 0.4),,0-5 T,287,43,3938
LaFe11.0Co0.8(Si1-xAlx)(1.2) (x= 0.6),8.8,0-5 T,290,43,3939
La(Fe0.97Mn0.03)11.7S1.3H,15.9,5 T,,44,2648
La(Fe0.98Mn0.02)11.7S1.3H,17.7,5 T,,44,2652
La(Fe0.99Mn0.01)11.7S1.3H,23.4,5 T,,44,2655
LaFe11.03Co0.80Si0.94Al0.23,16.9,5 T,,46,3933
LaFe11.83Si0.94Al0.23,21.8,5 T,,46,4106
La0.67-BixCa0.33MnO3 (x=0),,nan T,267,48,2971
La0.67-BixCa0.33MnO3 (x=0.05),6.08,3.0 T,248,48,2972
La0.67-BixCa0.33MnO3 (x=0.1),,nan T,244,48,2973
La0.67-BixCa0.33MnO3 (x=0.2),,nan T,229,48,2974
LaFe11Al2C0.0,,,200,52,4114
LaFe11Al2C0.2,,,Room temperature,52,4115
Gd60Co26Al14 BMG,7,5 T,,54,1980
Ni43Mn43Co3Sn11,33,5 T,,56,5208
LaFe11.4Al1.6C0.1,322,nan T,,58,3971
La0.6Pr0.1Pb0.3MnO3,-1.7,10 kOe,,59,3151
YCrO3,-0.38,8 T,,61,6435
Dy2Ni3Si5,,nan kOe,19,62,734
DyNiSi2,,nan kOe,9,62,864
DyNiSi3,,nan kOe,21,62,865
HoNiSi0.33Ga0.67,-15.4,0.5 kOe,,62,2534
Fe76Mo10Cu1B13,0.88 - 1.12,nan T,277 - 284,63,1345
La0.835K0.165MnO3+delta,,,338,64,3566
La0.8K0.2MnO3+delta,,,344,64,3686
La0.925K0.075MnO3+delta,,,230,64,3742
La0.9K0.1MnO3+delta,,,283,64,3766
Fe90Zr7B3 alloy,0.32,0.75 T,,65,1442
